Date,PX_LAST,CHG_PCT_1D
2024-10-24,99.4835,-0.1219
2024-10-23,99.6049,-0.4654
2024-10-22,100.0706,1.3364
2024-10-21,98.7509,0.5235
2024-10-18,98.2366,-0.0953
2024-10-17,98.3303,0.0623
2024-10-16,98.2691,-0.1445
2024-10-15,98.4113,-1.0603
2024-10-14,99.4659,-1.3297
2024-10-11,100.8063,0.2579
2024-10-10,100.547,1.1436
2024-10-09,99.4101,-0.7158
2024-10-08,100.1268,-1.9928
2024-10-07,102.1627,0.0839
2024-10-04,102.0771,-0.2254
2024-10-03,102.3077,0.7559
2024-10-02,101.5402,0.2445
2024-10-01,101.2925,0.9487
2024-09-30,100.3406,0.08
2024-09-27,100.2604,0.3448
2024-09-26,99.9159,-0.2662
2024-09-25,100.1826,-0.044
2024-09-24,100.2267,1.1825
2024-09-23,99.0554,0.9165
2024-09-20,98.1558,0.304
2024-09-19,97.8583,0.758
2024-09-18,97.1221,0.1004
2024-09-17,97.0247,0.289
2024-09-16,96.7451,0.5824
2024-09-13,96.1849,0.5505
2024-09-12,95.6583,1.5892
2024-09-11,94.1619,0.8906
2024-09-10,93.3307,-0.9468
2024-09-09,94.2228,0.5417
2024-09-06,93.7151,-1.5145
2024-09-05,95.1562,0.2992
2024-09-04,94.8723,-0.3509
2024-09-03,95.2064,-0.9168
2024-08-30,96.0873,-0.9459
2024-08-29,97.0049,0.7416
2024-08-28,96.2908,-0.9014
2024-08-27,97.1667,-0.0301
2024-08-26,97.196,0.7651
2024-08-23,96.458,1.276
2024-08-22,95.2427,-0.7461
2024-08-21,95.9586,-0.2634
2024-08-20,96.212,-0.0433
2024-08-19,96.2537,0.5664
2024-08-16,95.7116,-0.411
2024-08-15,96.1066,0.7481
2024-08-14,95.393,-0.1413
2024-08-13,95.528,-1.1413
2024-08-12,96.6308,1.1697
2024-08-09,95.5136,0.2819
2024-08-08,95.2451,0.4852
2024-08-07,94.7852,0.6699
2024-08-06,94.1545,0.2647
2024-08-05,93.9059,-0.8717
2024-08-02,94.7317,-0.8522
2024-08-01,95.5459,-0.9367
2024-07-31,96.4493,1.0734
2024-07-30,95.425,0.0179
2024-07-29,95.4079,-0.5776
2024-07-26,95.9622,-0.8439
2024-07-25,96.7789,-0.532
2024-07-24,97.2965,-0.2013
2024-07-23,97.4928,-0.6053
2024-07-22,98.0865,0.6169
2024-07-19,97.4851,-1.5099
2024-07-18,98.9796,-0.2356
2024-07-17,99.2133,-0.379
2024-07-16,99.5907,-0.0152
2024-07-15,99.6058,-1.1399
2024-07-12,100.7543,-0.0095
2024-07-11,100.7639,0.3181
