Date,PX_LAST,CHG_PCT_1D
2024-10-24,4.0069,-1.2269
2024-10-23,4.0567,1.2545
2024-10-22,4.0064,0.4976
2024-10-21,3.9866,2.7971
2024-10-18,3.8781,-0.5306
2024-10-17,3.8988,1.4285
2024-10-16,3.8439,-0.2703
2024-10-15,3.8543,-1.2166
2024-10-14,3.9018,0
2024-10-11,3.9018,0.4273
2024-10-10,3.8852,-0.8052
2024-10-09,3.9167,1.8347
2024-10-08,3.8461,-0.4957
2024-10-07,3.8653,1.6176
2024-10-04,3.8038,4.855
2024-10-03,3.6277,2.0919
2024-10-02,3.5533,1.2758
2024-10-01,3.5086,-1.4027
2024-09-30,3.5585,1.5212
2024-09-27,3.5052,-1.7359
2024-09-26,3.5671,1.1839
2024-09-25,3.5253,1.6975
2024-09-24,3.4665,-1.1381
2024-09-23,3.5064,0.2454
2024-09-20,3.4978,0.4396
2024-09-19,3.4825,-0.0025
2024-09-18,3.4826,1.1488
2024-09-17,3.443,1.2095
2024-09-16,3.4019,-0.8547
2024-09-13,3.4312,-0.952
2024-09-12,3.4642,0.5956
2024-09-11,3.4437,0.5979
2024-09-10,3.4232,-1.8241
2024-09-09,3.4868,0.0468
2024-09-06,3.4852,-1.4641
2024-09-05,3.537,-0.3409
2024-09-04,3.5491,-2.464
2024-09-03,3.6387,-1.7282
2024-09-02,3.7027,0
2024-08-30,3.7027,0.9911
2024-08-29,3.6664,0.0293
2024-08-28,3.6653,0.4699
2024-08-27,3.6482,-0.4776
2024-08-26,3.6657,0.4694
2024-08-23,3.6486,-1.8313
2024-08-22,3.7166,1.6517
2024-08-21,3.6562,-0.8485
2024-08-20,3.6875,-1.8481
2024-08-19,3.7569,-0.0037
2024-08-16,3.7571,-0.8341
2024-08-15,3.7887,2.9554
2024-08-14,3.6799,0.2297
2024-08-13,3.6715,-1.9841
2024-08-12,3.7458,-1.3246
2024-08-09,3.7961,-0.823
2024-08-08,3.8276,1.7423
2024-08-07,3.7621,0.8273
2024-08-06,3.7312,2.4462
2024-08-05,3.6421,0.7039
2024-08-02,3.6166,-5.6576
2024-08-01,3.8335,-2.035
2024-07-31,3.9132,-2.9734
2024-07-30,4.0331,-1.0274
2024-07-29,4.0749,0
2024-07-26,4.0749,-1.3548
2024-07-25,4.1309,-0.9751
2024-07-24,4.1716,0.2105
2024-07-23,4.1628,-0.255
2024-07-22,4.1735,0.1678
2024-07-19,4.1665,1.1474
2024-07-18,4.1192,1.0294
2024-07-17,4.0772,0.0833
2024-07-16,4.0738,-1.4012
2024-07-15,4.1317,0.7239
2024-07-12,4.102,-0.9782
2024-07-11,4.1426,-2.238
2024-07-10,4.2374,-0.1251
2024-07-09,4.2427,0.0823
2024-07-08,4.2392,0.3318
2024-07-05,4.2252,-2.2787
2024-07-04,4.3237,0
2024-07-03,4.3237,-1.6048
2024-07-02,4.3942,-0.7177
2024-07-01,4.426,1.1309
2024-06-28,4.3765,1.8427
2024-06-27,4.2973,-1.0468
2024-06-26,4.3428,1.5684
2024-06-25,4.2757,0.494
2024-06-24,4.2547,-0.4567
2024-06-21,4.2742,-0.0094
2024-06-20,4.2746,0.7424
2024-06-19,4.2431,0
2024-06-18,4.2431,-1.3953
2024-06-17,4.3032,1.5301
2024-06-14,4.2383,-0.1345
2024-06-13,4.244,-1.6691
2024-06-12,4.3161,-2.3136
2024-06-11,4.4183,-1.4209
2024-06-10,4.482,0.4351
2024-06-07,4.4626,3.7983
2024-06-06,4.2993,0.1193
