Date,Total
2018-04-27,404077.86
2018-04-28,400585.10
2018-04-29,429213.93
2018-04-30,421651.16
2018-05-01,436194.97
2018-05-02,429829.04
2018-05-03,452872.08
2018-05-04,535354.10
2018-05-05,587024.51
2018-05-06,612041.09
2018-05-07,606185.91
2018-05-08,545101.11
2018-05-09,554542.13
2018-05-10,553726.77
2018-05-11,534215.52
2018-05-12,513757.50
2018-05-13,494662.89
2018-05-14,506290.18
2018-05-15,526043.76
2018-05-16,488485.92
2018-05-17,472706.65
2018-05-18,453483.35
2018-05-19,485519.29
2018-05-20,489576.65
2018-05-21,502531.60
2018-05-22,488725.89
2018-05-23,459658.44
2018-05-24,398599.05
2018-05-25,441987.24
2018-05-26,413710.59
2018-05-27,373254.33
2018-05-28,384164.60
2018-05-29,333481.35
2018-05-30,366440.49
2018-05-31,357505.38
2018-06-01,377763.74
2018-06-02,366692.90
2018-06-03,400182.48
2018-06-04,414105.84
2018-06-05,404405.32
2018-06-06,397586.58
2018-06-07,413083.60
2018-06-08,407737.30
2018-06-09,410462.19
2018-06-10,407531.21
2018-06-11,340982.13
2018-06-12,343077.10
2018-06-13,318041.79
2018-06-14,311769.17
2018-06-15,345592.22
2018-06-16,337317.98
2018-06-17,342632.75
2018-06-18,344369.82
2018-06-19,371709.75
2018-06-20,377297.46
2018-06-21,385891.91
2018-06-22,374646.74
2018-06-23,328674.11
2018-06-24,338020.34
2018-06-25,325352.51
2018-06-26,328390.70
2018-06-27,312520.42
2018-06-28,331966.71
2018-06-29,339219.63
2018-06-30,337358.63
2018-07-01,345806.86
2018-07-02,352556.03
2018-07-03,375401.88
2018-07-04,355123.12
2018-07-05,372105.68
2018-07-06,388750.77
2018-07-07,357603.01
2018-07-08,402882.70
2018-07-09,381731.63
2018-07-10,388746.66
2018-07-11,334323.46
2018-07-12,338795.50
2018-07-13,329137.81
2018-07-14,335944.57
2018-07-15,327538.47
2018-07-16,352941.83
2018-07-17,368446.42
2018-07-18,387730.35
2018-07-19,357727.39
2018-07-20,354615.56
2018-07-21,337662.72
2018-07-22,343527.27
2018-07-23,353047.08
2018-07-24,325949.33
2018-07-25,357183.88
2018-07-26,351103.56
2018-07-27,341819.11
2018-07-28,340056.77
2018-07-29,342664.98
2018-07-30,341927.59
2018-07-31,337279.32
2018-08-01,322134.89
2018-08-02,337275.67
2018-08-03,337913.18
2018-08-04,371712.72
2018-08-05,356597.15
2018-08-06,358439.01
2018-08-07,367117.12
2018-08-08,367757.69
2018-08-09,22961.88
2018-08-10,20548.73
2018-08-11,20134.04
2018-08-12,337317.40
2018-08-13,340362.48
2018-08-14,342257.88
2018-08-15,341052.26
2018-08-16,359166.55
2018-08-17,369142.68
2018-08-18,367401.15
2018-08-19,365249.27
2018-08-20,363340.31
2018-08-21,358940.58
2018-08-22,316469.66
2018-08-23,242300.68
2018-08-24,2502793.66
2018-08-25,372406.54
2018-08-26,1302138.51
2018-08-27,8969865.14
2018-08-28,9018718.80
2018-08-29,1180226.41
2018-08-30,1175880.44
2018-08-31,1164421.61
2018-09-01,1178640.77
2018-09-02,1721605.31
2018-09-03,1714498.48
2018-09-04,1655376.03
2018-09-05,1541536.48
2018-09-06,1401925.23
2018-09-07,1373023.58
2018-09-08,1368294.69
2018-09-09,1305799.31
2018-09-10,654995.39
2018-09-11,1013470.37
2018-09-12,1369791.87
2018-09-13,969787.10
2018-09-14,967548.88
2018-09-15,609333.97
2018-09-16,1314515.63
2018-09-17,468275.51
2018-09-18,422288.66
2018-09-19,454622.15
2018-09-20,449140.10
2018-09-21,458246.45
2018-09-22,610154.66
2018-09-23,1090775.45
2018-09-24,1091668.51
2018-09-25,340529.61
2018-09-26,421474.34
2018-09-27,487850.79
2018-09-28,2062155.87
2018-09-29,3596029.28
2018-09-30,3917494.82
2018-10-01,3784471.07
2018-10-02,4022968.45
2018-10-03,3739590.38
2018-10-04,3317089.59
2018-10-05,3288585.81
2018-10-06,3555982.24
2018-10-07,3345382.61
2018-10-08,2990374.21
2018-10-09,3017476.31
2018-10-10,3312010.87
2018-10-11,3294332.14
2018-10-12,2875060.66
2018-10-13,3384946.57
2018-10-14,3421112.78
2018-10-15,3373174.42
2018-10-16,4833995.72
2018-10-17,4074596.48
2018-10-18,5723684.28
2018-10-19,5445987.68
2018-10-20,5700029.75
2018-10-21,4772745.97
2018-10-22,5842450.93
2018-10-23,6079294.39
2018-10-24,5961246.44
2018-10-25,6265812.03
2018-10-26,6565393.34
2018-10-27,4814508.58
2018-10-28,6483197.21
2018-10-29,6595754.80
2018-10-30,5738062.03
2018-10-31,3932026.30
2018-11-01,3912717.30
2018-11-02,3911408.33
2018-11-03,3491550.81
2018-11-04,4430767.70
2018-11-05,4109048.92
2018-11-06,4148805.62
2018-11-07,4436008.56
2018-11-08,4392574.10
2018-11-09,4196211.94
2018-11-10,4044371.35
2018-11-11,4173220.53
2018-11-12,4083018.28
2018-11-13,4338027.86
2018-11-14,4275287.02
2018-11-15,3683607.21
2018-11-16,3916651.17
2018-11-17,3777995.95
2018-11-18,3619613.83
2018-11-19,14168000.57
2018-11-20,2893450.19
2018-11-21,2213633.56
2018-11-22,2817094.75
2018-11-23,4207919.92
2018-11-24,4248590.48
2018-11-25,3926654.35
2018-11-26,4859024.01
2018-11-27,4683036.83
2018-11-28,5399337.85
2018-11-29,6207558.89
2018-11-30,6455300.05
2018-12-01,6418273.47
2018-12-02,7185037.46
2018-12-03,6513088.99
2018-12-04,5342216.73
2018-12-05,5198881.48
2018-12-06,3905165.97
2018-12-07,3399289.14
2018-12-08,3951932.89
2018-12-09,4274771.22
2018-12-10,3323394.19
2018-12-11,3286046.38
2018-12-12,3364537.13
2018-12-13,3517188.23
2018-12-14,3270664.59
2018-12-15,2968926.24
2018-12-16,3311345.61
2018-12-17,3509572.91
2018-12-18,3970429.93
2018-12-19,4151531.36
2018-12-20,4145202.65
2018-12-21,4601155.82
2018-12-22,5772900.46
2018-12-23,5870272.51
2018-12-24,6366065.20
2018-12-25,7427365.10
2018-12-26,6906895.87
2018-12-27,7376259.09
2018-12-28,6671341.25
2018-12-29,7098851.39
2018-12-30,4149780.61
2018-12-31,3926019.84
2019-01-01,3802744.42
2019-01-02,4008486.20
2019-01-03,5319595.67
2019-01-04,287433128.52
2019-01-05,302732506.87
2019-01-06,311853477.01
2019-01-07,300491956.24
2019-01-08,299339163.96
2019-01-09,292697944.27
2019-01-10,120442298.07
2019-01-11,257765163.23
2019-01-12,290802406.08
2019-01-13,257937842.20
2019-01-14,191629187.26
2019-01-15,261411391.56
2019-01-16,262961575.38
2019-01-17,267924884.56
2019-01-18,277660236.30
2019-01-19,244151380.72
2019-01-20,251644913.62
2019-01-21,248491097.98
2019-01-22,240708087.24
2019-01-23,235787788.93
2019-01-24,243494776.43
2019-01-25,241710177.28
2019-01-26,241907331.69
2019-01-27,245375349.54
2019-01-28,239831642.32
2019-01-29,110993122.62
2019-01-30,218096824.36
2019-01-31,222703976.18
2019-02-01,228666577.29
2019-02-02,227028959.40
2019-02-03,230013244.42
2019-02-04,230127295.94
2019-02-05,229430913.47
2019-02-06,231273136.94
2019-02-07,223333681.34
2019-02-08,228871906.91
2019-02-09,235167475.42
2019-02-10,261139320.44
2019-02-11,258554459.28
2019-02-12,264077880.78
2019-02-13,262141236.56
2019-02-14,267761655.68
2019-02-15,264387498.16
2019-02-16,277093507.76
2019-02-17,268744333.01
2019-02-18,281574784.59
2019-02-19,305819125.38
2019-02-20,325278626.62
2019-02-21,322645926.66
2019-02-22,322273346.61
2019-02-23,330720006.00
2019-02-24,332135495.65
2019-02-25,364416787.12
2019-02-26,309999343.66
2019-02-27,309159374.18
2019-02-28,312433597.50
2019-03-01,310014164.07
2019-03-02,314532262.89
2019-03-03,303624732.59
2019-03-04,305542360.41
2019-03-05,288680650.23
2019-03-06,295972789.95
2019-03-07,320109082.84
2019-03-08,322663486.90
2019-03-09,314523730.43
2019-03-10,324473631.56
2019-03-11,313835747.60
2019-03-12,311112409.64
2019-03-13,312741396.29
2019-03-14,307100618.34
2019-03-15,310006836.67
2019-03-16,316214758.26
2019-03-17,335130994.64
2019-03-18,334848455.98
2019-03-19,330615127.32
2019-03-20,327731261.89
2019-03-21,328283472.36
2019-03-22,325443734.18
2019-03-23,317895424.77
2019-03-24,320257353.56
2019-03-25,321138288.82
2019-03-26,315561565.37
2019-03-27,312363436.93
2019-03-28,327529272.86
2019-03-29,321106178.21
2019-03-30,330061621.70
2019-03-31,336188470.81
2019-04-01,333460244.33
2019-04-02,330978254.07
2019-04-03,361594750.89
2019-04-04,392932918.90
2019-04-05,377869512.07
2019-04-06,387144014.83
2019-04-07,386408512.44
2019-04-08,397314868.43
2019-04-09,417345265.99
2019-04-10,416397449.87
2019-04-11,426381658.71
2019-04-12,390404226.99
2019-04-13,391764520.55
2019-04-14,384361169.38
2019-04-15,384943047.86
2019-04-16,388146901.68
2019-04-17,378592405.43
2019-04-18,391870807.56
2019-04-19,398046174.89
2019-04-20,400802077.21
2019-04-21,394224277.37
2019-04-22,384047397.13
2019-04-23,391612123.21
2019-04-24,398974485.33
2019-04-25,374835374.49
2019-04-26,369675254.12
2019-04-27,353253273.29
2019-04-28,351397722.90
2019-04-29,355871415.80
2019-04-30,345659531.14
2019-05-01,360859250.58
2019-05-02,367995032.90
2019-05-03,360919178.54
2019-05-04,369508006.43
2019-05-05,364541770.68
2019-05-06,365556204.75
2019-05-07,366422292.35
2019-05-08,396594726.19
2019-05-09,376392567.72
2019-05-10,377496114.97
2019-05-11,374509695.16
2019-05-12,403051737.05
2019-05-13,407686685.19
2019-05-14,413872177.14
2019-05-15,442069802.74
2019-05-16,486740747.44
2019-05-17,492855168.51
2019-05-18,457487191.04
2019-05-19,467583199.66
2019-05-20,499545006.99
2019-05-21,489893173.32
2019-05-22,488358808.42
2019-05-23,487452839.17
2019-05-24,462332913.40
2019-05-25,487418847.49
2019-05-26,495186828.50
2019-05-27,477590554.83
2019-05-28,504416215.36
2019-05-29,492147769.39
2019-05-30,486895285.41
2019-05-31,506370688.62
2019-06-01,464900287.58
2019-06-02,490440184.87
2019-06-03,492316483.34
2019-06-04,480029529.04
2019-06-05,449108423.47
2019-06-06,450802268.50
2019-06-07,454782474.92
2019-06-08,458402697.66
2019-06-09,459231885.59
2019-06-10,448830825.94
2019-06-11,450039861.44
2019-06-12,445448012.07
2019-06-13,462252033.90
2019-06-14,473704223.03
2019-06-15,471947873.19
2019-06-16,483324307.55
2019-06-17,496782843.66
2019-06-18,500753899.09
2019-06-19,492451210.36
2019-06-20,491959838.55
2019-06-21,492750196.85
2019-06-22,530113804.05
2019-06-23,559048628.67
2019-06-24,557130390.98
2019-06-25,558559670.20
2019-06-26,556981196.26
2019-06-27,582321118.51
2019-06-28,542317702.38
2019-06-29,534711011.64
2019-06-30,530837844.36
2019-07-01,524027832.98
2019-07-02,516757057.37
2019-07-03,488986544.74
2019-07-04,518289037.53
2019-07-05,523478296.13
